A,B
19,32
20,32
20,32
20,32
19,31
8,32
20,32
15,29
8,26
19,32
14,31
20,31
21,33
8,31
12,29
17,30
19,32
19,32
19,31
8,29
16,31
8,23
19,32
20,32
20,32
18,31
13,31
10,27
7,20
17,30
14,27
20,32
18,31
8,26
19,32
20,32
21,32
7,19
19,32
7,20
12,25
18,31
8,31
20,33
19,32
20,32
8,32
19,32
19,31
8,27
17,30
20,32
18,31
14,32
8,28
20,32
10,23
7,27
7,19
19,31
19,32
8,21
11,24
16,30
17,30
20,32
20,32
20,32
20,32
11,31
13,26
20,32
15,31
19,31
19,31
19,31
8,32
8,21
20,32
21,33
20,32
8,23
16,29
9,22
8,20
7,25
20,32
13,26
19,32
20,32
21,32
9,22
20,33
7,19
8,26
19,31
12,31
21,32
7,21
15,29
20,32
19,32
7,20
20,32
9,23
8,29
12,26
20,32
18,31
19,31
12,27
19,32
8,20
19,31
19,31
12,24
20,32
10,31
7,19
8,20
20,32
7,27
20,32
11,31
20,32
7,23
11,31
20,32
19,32
18,31
19,31
8,32
19,32
12,27
20,32
15,28
8,24
20,31
8,29
7,19
20,31
19,31
8,26
18,30
13,27
17,31
16,30
19,31
8,20
11,24
19,31
21,33
9,32
20,32
20,32
20,32
6,19
15,28
8,21
16,29
18,31
8,20
9,32
20,32
9,22
20,32
8,21
19,33
17,31
19,32
16,31
8,32
10,29
20,33
19,31
13,26
20,32
19,32
8,21
12,26
7,20
13,25
9,25
7,20
19,32
20,32
9,23
19,31
7,31
18,31
7,19
8,32
21,32
20,32
17,29
19,32
7,20
8,31
7,19
19,32
13,31
15,27
21,32
7,19
19,32
7,31
19,32
16,31
8,20
20,32
18,31
9,22
13,25
15,31
10,29
20,31
20,32
19,31
12,32
14,28
19,32
8,20
17,31
13,26
18,31
7,19
19,32
20,33
18,30
20,32
19,31
7,31
7,19
10,23
18,32
19,32
18,32
7,31
20,31
10,23
16,31
10,26
19,32
20,33
15,28
15,29
8,30
13,32
19,32
20,32
7,23
6,18
