A,B
27,10
9,27
12,28
12,28
10,26
12,27
11,29
9,28
13,28
12,27
14,31
10,28
11,27
10,29
12,27
12,29
11,28
10,29
10,28
10,27
11,30
10,29
12,27
11,28
12,29
12,28
11,27
11,28
10,28
11,28
10,28
13,28
12,28
11,27
10,26
11,29
8,28
10,29
11,30
11,26
9,28
13,29
13,29
11,29
12,28
12,27
12,29
11,29
13,29
12,28
10,28
12,28
9,29
12,28
11,28
11,29
11,29
12,29
11,28
11,27
11,30
10,29
11,27
9,30
10,29
12,27
11,28
11,30
11,28
11,28
11,29
12,29
12,29
10,27
12,28
11,29
12,28
11,26
11,29
12,29
10,27
10,28
11,27
12,30
11,28
13,29
11,27
11,28
9,27
10,29
12,30
11,28
11,31
11,29
12,29
10,29
12,29
11,29
10,28
10,27
12,29
10,28
12,28
11,29
12,29
12,29
9,27
13,29
11,28
11,29
10,28
10,29
10,27
12,29
10,27
11,27
10,26
10,28
11,28
12,29
11,26
9,27
11,27
13,28
9,28
11,29
11,29
11,29
12,29
10,30
10,28
9,27
12,28
12,29
12,27
11,28
11,28
11,26
11,28
10,28
11,28
12,28
11,28
12,30
12,29
10,29
12,28
11,29
10,27
11,28
10,27
8,26
9,27
10,28
10,27
11,29
10,29
11,28
12,27
11,29
11,27
11,28
11,27
12,30
11,27
11,29
11,28
10,27
9,28
10,27
11,28
11,28
11,28
9,29
12,28
11,28
12,28
10,28
11,27
10,29
12,29
11,28
9,27
10,30
12,28
10,29
11,28
11,28
11,29
11,29
10,28
12,27
9,28
11,29
11,27
10,28
11,27
12,25
12,30
11,28
11,28
12,29
12,28
11,27
11,27
10,28
13,28
11,26
11,27
11,28
10,28
12,29
11,28
12,30
11,28
11,28
12,29
12,28
12,30
12,27
11,27
12,28
11,28
10,28
11,28
11,29
9,26
9,29
13,28
9,28
11,29
10,28
12,29
11,27
11,28
11,27
12,26
11,28
12,28
11,28
11,28
12,27
10,27
12,30
12,28
12,27
11,27
12,28
12,28
11,28
13,29
11,27
11,28
9,27
11,28
11,28
12,27
12,28
10,28
11,26
10,29
12,29
12,29
11,30
12,28
12,28
11,28
10,28
12,28
10,28
11,29
11,29
12,26
12,29
11,30
10,28
13,27
10,29
11,29
10,28
11,29
9,28
11,28
11,29
11,28
10,27
11,28
11,27
11,28
12,27
11,28
11,29
12,27
11,26
10,28
9,27
11,27
10,28
13,28
10,28
10,28
12,26
12,27
12,28
11,27
10,29
12,29
12,28
10,28
11,26
11,29
10,27
12,28
11,28
11,28
11,27
12,29
11,29
11,28
12,29
11,28
12,29
11,28
10,29
12,29
12,30
10,27
12,27
11,30
11,28
11,28
11,28
11,28
11,27
10,28
8,27
9,26
11,29
12,27
12,28
12,26
11,27
9,28
12,29
12,28
11,27
10,29
13,29
11,29
10,28
12,30
12,29
8,28
10,27
11,28
11,26
10,29
11,28
13,27
12,28
13,30
9,29
10,27
10,28
10,28
11,28
11,29
11,28
11,28
12,28
11,29
11,30
10,27
14,27
11,28
11,27
12,28
9,28
12,28
12,30
11,29
10,27
10,28
13,27
11,27
11,28
11,29
12,28
12,29
10,28
11,27
11,28
10,27
10,28
12,28
10,29
11,28
11,28
10,29
11,27
10,28
13,29
10,27
10,28
11,29
13,27
11,29
12,28
11,27
11,26
12,28
10,28
9,29
12,29
12,28
10,28
11,28
11,27
10,28
11,28
11,28
12,28
12,28
11,27
9,28
11,28
13,29
29,13
12,28
11,27
12,28
12,28
11,27
10,26
11,28
12,28
10,28
12,28
10,28
10,28
11,29
12,27
11,28
11,27
13,28
11,28
12,28
12,27
11,28
13,29
10,27
11,28
11,29
11,28
10,27
10,26
10,29
11,29
11,30
12,27
10,27
11,27
10,29
10,29
10,27
11,28
11,29
11,27
10,28
11,29
12,27
12,28
9,29
10,29
10,27
10,26
11,28
12,27
9,27
11,29
10,28
11,29
10,28
11,28
12,28
28,13
11,27
11,29
11,28
11,28
12,29
12,29
9,29
10,29
10,28
12,29
10,27
11,28
12,28
10,28
11,30
10,27
10,28
10,28
11,27
9,27
11,29
10,29
12,28
11,29
11,28
12,29
11,29
10,27
10,30
10,26
11,27
10,28
12,29
10,30
11,29
11,28
12,29
11,28
11,28
12,29
11,27
10,27
11,29
10,27
10,28
9,29
9,27
10,28
10,27
11,29
11,28
11,29
11,27
10,27
12,27
10,27
10,28
11,28
12,29
10,28
10,28
12,27
11,27
11,29
11,28
10,28
12,28
11,28
11,28
9,28
11,28
9,28
12,28
10,28
11,30
10,28
10,30
12,29
11,29
11,28
11,27
11,27
11,26
12,28
11,29
11,28
12,28
10,27
11,28
10,29
11,28
10,27
11,29
10,30
12,27
12,30
11,27
11,29
12,28
11,28
11,27
12,28
11,29
10,27
11,28
12,28
9,29
11,28
10,27
12,28
11,29
11,30
12,29
11,29
11,29
12,28
11,27
10,28
11,26
11,26
13,29
10,29
11,27
10,29
11,27
11,28
11,31
12,27
11,28
11,29
10,28
11,26
11,29
11,30
12,28
11,28
12,28
12,29
10,29
11,29
12,27
10,29
11,28
12,28
11,27
11,30
10,28
11,28
11,30
11,28
12,28
12,28
11,26
12,28
11,28
12,28
11,28
10,25
10,26
10,29
12,28
11,29
11,29
10,28
13,29
13,28
10,27
12,30
12,30
12,28
12,28
11,28
10,27
13,29
12,28
12,28
11,28
12,28
10,28
11,27
13,28
10,27
9,27
10,29
11,28
13,28
12,28
11,29
11,30
10,28
13,28
12,27
12,28
12,30
9,29
10,29
13,27
10,28
10,29
10,28
10,26
10,27
8,28
11,29
11,27
11,29
9,30
9,28
11,29
11,27
10,28
11,27
10,28
12,28
11,27
10,28
11,29
12,28
10,28
12,29
12,28
11,28
10,27
11,28
10,27
11,27
10,28
9,27
11,28
10,29
10,29
12,27
11,28
12,29
9,25
10,28
12,31
11,28
11,27
11,29
11,29
10,29
13,26
12,28
11,28
11,27
10,30
12,29
12,30
11,27
12,30
12,30
11,29
12,27
10,29
11,28
11,28
10,28
10,29
11,30
10,27
12,29
12,29
11,27
10,28
11,28
11,29
9,28
10,28
12,29
12,29
10,29
11,28
10,26
11,29
10,28
10,28
11,28
11,29
11,28
11,27
11,29
13,30
10,27
7,27
12,27
10,28
13,28
12,29
13,29
13,29
11,28
10,25
11,27
11,27
10,27
11,29
12,29
13,29
11,29
10,27
11,29
10,28
10,26
10,27
11,29
11,28
11,28
11,28
11,28
11,28
12,28
11,28
11,28
13,31
11,27
10,27
12,29
12,30
10,28
10,29
10,28
11,25
10,28
11,27
10,29
10,29
11,29
12,29
11,28
13,28
11,27
11,28
11,28
12,29
11,29
10,27
11,28
12,30
12,28
11,28
10,28
10,28
12,27
11,27
10,28
10,28
12,27
12,28
11,30
10,28
11,27
11,29
11,28
11,27
12,29
11,27
11,29
11,28
12,28
11,28
11,28
11,27
10,29
12,29
11,29
10,28
11,29
9,29
11,29
10,30
11,30
12,29
12,27
11,28
10,27
11,28
11,29
10,28
11,27
10,29
13,29
11,29
11,25
10,27
11,28
12,27
12,28
10,26
12,29
9,27
9,27
11,30
9,28
10,29
12,30
10,28
11,28
12,30
12,27
12,31
11,28
12,28
11,29
11,29
11,27
10,29
11,28
11,31
11,28
12,28
11,28
11,28
10,27
11,29
10,27
11,28
13,29
10,27
9,27
11,28
12,28
12,28
11,29
11,27
10,28
12,28
13,28
12,28
11,27
11,28
12,27
12,30
10,30
11,29
11,29
12,27
10,28
11,29
12,29
11,29
12,29
9,28
10,29
11,28
10,29
10,27
10,28
12,28
12,29
13,27
11,27
12,27
12,29
10,28
10,28
12,28
10,27
11,26
11,27
11,29
11,28
10,30
10,28
10,27
11,27
10,27
10,28
12,30
11,29
11,28
11,28
10,28
11,27
10,29
9,28
12,27
11,29
11,27
11,27
11,30
12,29
11,28
11,29
12,29
12,29
11,27
11,29
12,29
11,28
11,28
11,29
11,28
10,27
11,27
10,29
11,29
8,29
11,28
12,28
10,26
10,27
11,27
11,27
12,29
10,28
11,29
12,27
9,27
12,28
11,26
11,28
11,27
9,27
10,30
12,29
13,28
10,25
10,28
11,28
12,28
11,29
12,29
13,28
12,30
10,28
11,28
10,29
11,27
10,30
11,28
9,27
10,27
11,28
10,26
10,28
11,28
11,27
12,25
11,27
11,28
11,28
12,27
11,27
13,28
10,28
11,27
12,28
10,27
11,28
12,27
11,26
11,30
11,26
11,29
12,27
11,27
11,29
10,26
10,28
12,28
10,29
9,26
11,29
10,28
11,29
12,30
11,26
10,29
11,27
11,27
10,28
12,28
10,28
9,28
11,31
11,28
10,29
11,27
11,28
13,30
10,28
11,29
11,28
10,28
12,28
12,29
12,27
11,28
11,29
10,28
10,28
9,27
11,28
10,27
11,29
12,29
11,28
12,30
10,27
12,28
11,28
10,27
10,26
12,27
11,29
11,30
10,28
11,28
10,27
8,26
10,28
12,27
10,26
11,27
10,29
12,27
11,28
12,29
12,28
11,29
10,30
11,27
11,29
11,27
12,27
12,29
11,30
11,28
11,28
10,29
10,27
11,28
11,29
12,29
11,29
11,26
11,28
10,28
10,28
12,29
11,30
10,29
9,28
11,28
11,29
11,26
11,29
11,28
9,28
11,29
12,28
12,28
13,28
9,29
11,27
10,29
12,29
11,28
11,27
11,28
11,28
10,28
11,27
11,28
10,27
9,27
10,29
9,27
11,27
11,29
11,29
14,28
9,27
10,28
9,28
11,27
11,27
11,28
11,29
11,29
10,27
12,29
11,28
12,29
12,28
10,27
10,27
10,27
11,28
11,27
13,29
10,27
11,28
10,29
11,28
10,27
12,28
11,29
8,27
11,28
11,29
11,29
11,28
12,28
10,28
10,28
11,27
12,27
9,26
12,30
10,27
11,29
11,28
12,27
11,28
9,28
12,28
12,27
11,28
10,29
12,27
11,29
12,27
10,28
11,29
11,30
12,28
11,28
10,28
11,29
12,28
10,29
13,29
11,29
11,29
11,28
9,28
10,28
10,28
8,29
10,29
12,27
12,27
11,27
12,28
11,28
10,26
9,27
9,28
11,28
12,27
11,29
10,28
11,28
9,27
11,29
11,28
11,28
12,29
11,28
10,29
11,27
11,28
10,29
11,29
12,29
10,26
12,27
12,27
11,27
12,26
10,28
13,29
11,28
10,26
12,30
11,29
9,28
9,27
12,27
10,29
12,28
12,28
11,27
9,27
11,29
11,27
11,28
12,28
12,27
11,28
11,28
10,29
12,27
11,27
11,28
9,28
10,28
11,27
11,28
11,28
12,27
11,29
12,29
11,28
11,28
10,29
12,28
10,28
12,29
10,28
11,28
11,29
11,28
13,29
10,28
10,29
11,28
11,27
10,27
12,28
11,27
11,28
10,27
11,28
13,28
13,27
9,27
14,28
11,28
12,29
12,26
11,30
8,27
13,30
12,29
11,28
10,28
10,30
10,27
13,28
12,28
9,28
11,28
11,28
10,28
11,27
12,28
11,27
10,26
9,27
11,28
11,27
10,28
11,28
10,28
10,27
11,29
11,28
12,27
10,30
11,27
13,28
10,27
13,28
8,26
12,28
10,30
10,29
9,28
11,28
13,30
11,29
9,29
12,25
11,28
11,29
10,28
12,28
13,31
11,28
11,27
11,30
11,28
13,29
12,27
11,28
11,28
8,26
11,29
11,29
11,28
10,27
11,28
12,28
11,27
11,28
12,30
12,29
12,29
11,27
12,27
10,28
11,28
11,28
11,29
11,27
11,28
11,28
11,29
12,28
12,28
9,27
12,28
11,27
10,28
11,29
11,27
10,27
10,28
10,29
11,28
12,27
11,29
11,29
10,29
10,29
10,30
11,27
10,29
9,26
9,28
10,28
12,30
10,28
11,28
11,27
11,26
9,26
10,28
11,29
11,29
11,28
10,28
13,28
12,29
11,28
12,28
12,28
12,29
12,30
12,29
10,29
12,29
11,27
11,28
10,29
11,28
10,27
12,29
12,27
10,29
12,29
10,29
12,28
13,30
10,29
11,27
11,27
11,30
10,26
11,29
11,30
10,28
11,28
11,29
10,27
10,27
11,27
11,29
11,27
11,29
11,28
11,29
12,27
12,28
11,27
11,29
10,27
12,27
11,29
10,28
12,29
13,29
13,29
12,29
12,28
11,29
11,29
12,29
10,28
12,29
12,26
11,27
12,28
11,29
9,30
12,27
12,27
8,27
11,27
11,28
11,27
9,29
11,28
12,26
11,29
11,28
10,28
12,29
11,29
10,29
12,29
11,30
10,27
10,29
10,26
12,29
11,28
11,28
9,28
13,28
11,28
11,27
11,28
10,28
11,28
11,29
12,28
11,28
12,29
11,28
11,27
10,29
11,31
10,28
12,30
11,28
11,27
11,27
11,29
10,27
13,29
9,27
12,29
12,27
9,27
11,29
11,30
10,27
12,29
11,28
10,27
11,26
12,28
9,28
12,29
10,28
11,28
12,30
12,29
11,27
11,29
11,29
10,28
10,28
11,27
9,28
10,29
10,27
9,28
13,29
11,28
10,28
13,30
10,28
10,27
10,27
11,28
11,27
11,27
11,28
10,29
11,28
9,27
10,28
11,27
10,26
10,27
11,28
10,28
11,29
11,28
10,29
11,28
10,29
10,29
12,29
10,28
11,27
12,30
10,29
11,29
10,28
12,29
10,29
10,28
10,27
10,28
12,28
9,30
11,27
12,27
13,31
11,29
11,28
11,27
11,27
13,29
10,28
10,27
10,28
12,29
11,28
11,29
10,28
12,28
10,27
11,27
10,29
12,28
11,28
11,28
11,27
12,29
10,27
10,29
11,29
11,28
10,26
11,28
12,30
10,28
11,27
11,28
11,28
10,26
10,28
11,28
11,28
10,29
12,27
9,29
12,29
8,28
9,27
11,28
10,27
9,27
12,27
10,28
12,27
11,27
12,28
10,28
10,28
10,26
13,30
13,28
11,27
11,28
11,27
12,27
12,27
13,28
11,28
9,29
10,28
12,29
10,28
10,28
11,27
11,28
10,29
11,28
11,27
9,28
9,27
11,27
10,27
9,27
14,29
12,28
10,27
10,28
9,27
10,29
10,29
12,29
12,27
11,28
10,29
11,28
12,28
12,27
9,29
13,27
13,28
11,29
10,26
10,28
11,27
11,27
11,27
10,29
10,28
10,28
10,28
11,28
10,27
10,28
10,30
13,29
11,27
28,11
12,27
9,27
12,28
12,27
10,28
11,26
11,29
11,27
10,29
12,27
12,27
12,29
11,28
12,28
10,26
9,28
11,28
9,27
10,26
9,28
12,29
10,27
10,28
10,28
11,28
11,28
10,26
11,26
10,26
8,29
11,27
11,27
12,29
9,28
13,28
11,28
12,31
12,28
11,30
11,27
10,29
10,27
9,28
12,29
11,29
11,31
12,28
11,29
9,29
10,27
11,28
11,28
11,28
13,26
10,28
10,28
9,26
11,28
11,28
9,29
12,27
11,27
10,28
11,29
11,28
11,28
11,28
12,27
10,28
11,27
10,27
10,28
11,28
11,27
11,28
11,30
11,28
13,27
10,28
10,28
10,29
11,28
10,26
10,28
11,29
13,28
10,29
11,27
10,27
10,28
11,29
13,29
10,29
13,28
11,27
11,29
11,27
11,29
9,27
10,28
11,28
13,29
10,26
11,27
10,29
11,27
10,27
11,28
11,28
10,29
10,27
10,28
11,29
11,28
11,28
11,28
11,29
12,29
13,29
11,28
11,29
11,27
12,27
11,29
11,26
11,29
11,29
13,26
10,29
10,28
10,27
11,28
12,27
11,28
11,28
12,27
12,29
11,28
11,28
